mz	intensity	rel.intensity	exactmass	formula	ionization
68.997200	27376.20	0.74	68.997106	C3O2	[M + H]+
79.017900	29004.10	0.78	79.017841	C5H2O	[M + H]+
95.049200	47138.60	1.27	95.049141	C6H6O	[M + H]+
97.028500	79129.60	2.14	97.028406	C5H4O2	[M + H]+
105.033500	426811.80	11.53	105.033491	C7H4O	[M + H]+
107.012800	21238.40	0.57	107.012756	C6H2O2	[M + H]+
121.028300	29714.50	0.80	121.028406	C7H4O2	[M + H]+
125.023300	24929.60	0.67	125.023320	C6H4O3	[M + H]+
135.007700	479687.80	12.96	135.007670	C7H2O3	[M + H]+
141.018200	27866.10	0.75	141.018235	C6H4O4	[M + H]+
141.069900	60237.80	1.63	141.069877	C11H8	[M + H]+
151.039000	69814.10	1.89	151.038971	C8H6O3	[M + H]+
152.010500	24052.00	0.65	152.010410	C7H3O4	[M + H]+
167.034100	19354.30	0.52	167.033885	C8H6O4	[M + H]+
197.059800	56522.80	1.53	197.059706	C13H8O2	[M + H]+
211.039000	125808.10	3.40	211.038971	C13H6O3	[M + H]+
212.046900	40430.20	1.09	212.046796	C13H7O3	[M + H]+
227.070200	18564.80	0.50	227.070271	C14H10O3	[M + H]+
228.041300	32194.00	0.87	228.041710	C13H7O4	[M + H]+
230.995900	3702482.00	100.00	230.995785	C8H6O6S	[M + H]+
243.065300	101160.80	2.73	243.065185	C14H10O4	[M + H]+
309.042900	3328385.50	89.90	309.042736	C14H12O6S	[M + H]+
